iter	Passed	Remaining
403	10569	41754
404	10594	41723
405	10619	41691
406	10649	41682
407	10677	41662
408	10706	41649
409	10735	41630
410	10761	41605
411	10787	41577
412	10811	41543
413	10834	41507
414	10860	41480
415	10886	41453
416	10913	41430
417	10940	41406
418	10966	41378
419	10993	41357
420	11015	41315
421	11048	41315
422	11076	41294
423	11097	41248
424	11130	41246
425	11159	41233
426	11183	41199
427	11208	41166
428	11234	41142
429	11261	41118
430	11287	41089
431	11314	41066
432	11338	41034
433	11362	40999
434	11391	40982
435	11419	40964
436	11444	40933
437	11471	40909
438	11496	40878
439	11523	40854
440	11550	40832
441	11576	40807
442	11601	40775
443	11625	40742
444	11651	40713
445	11681	40702
446	11709	40681
447	11735	40655
448	11760	40625
449	11788	40606
450	11814	40576
451	11838	40545
452	11870	40538
453	11895	40508
454	11920	40477
455	11944	40443
456	11974	40431
457	12001	40405
458	12027	40380
459	12053	40353
460	12079	40326
461	12106	40302
462	12131	40273
463	12155	40238
464	12183	40218
465	12211	40198
466	12234	40160
467	12259	40132
468	12284	40102
469	12309	40071
470	12334	40042
471	12358	40008
472	12385	39983
473	12416	39974
474	12441	39944
475	12466	39914
476	12494	39894
477	12521	39869
478	12544	39832
479	12569	39804
480	12597	39784
481	12622	39754
482	12649	39730
483	12676	39705
484	12705	39687
485	12730	39657
486	12755	39627
487	12779	39595
488	12810	39583
489	12834	39551
490	12859	39520
491	12885	39495
492	12912	39471
493	12938	39443
494	12964	39418
495	12995	39406
496	13025	39391
497	13051	39365
498	13074	39329
499	13100	39300
500	13124	39267
501	13148	39235
502	13172	39202
503	13200	39182
504	13225	39151
505	13251	39125
506	13278	39101
507	13304	39076
508	13329	39046
509	13355	39019
510	13382	38993
511	13406	38963
512	13431	38932
513	13456	38903
514	13483	38879
515	13507	38847
516	13532	38817
517	13557	38786
518	13582	38758
519	13608	38731
520	13637	38713
521	13662	38684
522	13688	38657
523	13712	38626
524	13740	38603
525	13764	38570
526	13788	38540
527	13814	38513
528	13841	38489
529	13868	38464
530	13891	38431
531	13923	38421
532	13948	38391
533	13976	38369
534	14003	38346
535	14029	38319
536	14054	38289
537	14077	38255
538	14104	38230
539	14130	38204
540	14154	38173
541	14180	38145
542	14206	38120
543	14232	38091
544	14260	38071
545	14285	38043
546	14312	38017
547	14337	37990
548	14365	37967
549	14392	37944
550	14419	37918
551	14447	37898
552	14475	37876
553	14503	37855
554	14530	37831
555	14558	37809
556	14585	37785
557	14611	37759
558	14638	37735
559	14665	37711
560	14689	37680
561	14715	37652
562	14739	37619
563	14764	37592
564	14789	37563
565	14816	37539
566	14844	37517
567	14868	37486
568	14894	37459
569	14920	37432
570	14946	37404
571	14968	37369
572	14994	37342
573	15020	37316
574	15044	37284
575	15069	37254
576	15093	37223
577	15119	37198
578	15144	37167
579	15171	37142
580	15195	37113
581	15220	37083
582	15244	37051
583	15275	37038
584	15300	37009
585	15327	36984
586	15355	36962
587	15382	36938
588	15409	36913
589	15440	36900
590	15468	36878
591	15493	36848
592	15517	36818
593	15545	36796
594	15571	36769
595	15596	36740
596	15626	36722
597	15651	36695
598	15677	36667
599	15705	36646
600	15729	36616
601	15756	36591
602	15784	36569
603	15809	36539
604	15835	36513
605	15862	36488
606	15885	36456
607	15915	36437
608	15941	36411
609	15967	36385
610	15990	36352
611	16017	36326
612	16045	36306
613	16071	36278
614	16100	36258
615	16124	36227
616	16148	36196
617	16179	36180
618	16206	36157
619	16234	36133
620	16261	36110
621	16288	36085
622	16314	36060
623	16344	36041
624	16369	36013
625	16395	35987
626	16422	35961
627	16450	35938
628	16476	35914
629	16502	35886
630	16532	35869
631	16557	35839
632	16585	35817
633	16613	35794
634	16641	35773
635	16673	35759
636	16702	35739
637	16733	35722
638	16768	35714
639	16796	35692
640	16842	35707
641	16870	35685
642	16898	35663
643	16929	35647
644	16954	35616
645	16978	35586
646	17006	35563
647	17034	35540
648	17060	35515
649	17088	35491
650	17112	35459
651	17142	35440
652	17170	35418
653	17198	35396
654	17225	35371
655	17252	35345
656	17276	35315
657	17302	35288
658	17331	35267
659	17357	35240
660	17382	35212
661	17410	35188
662	17439	35168
663	17468	35146
664	17493	35117
665	17521	35095
666	17551	35075
667	17578	35052
668	17604	35024
669	17630	34998
670	17653	34965
671	17677	34934
672	17704	34908
673	17733	34888
674	17762	34867
675	17789	34842
676	17816	34817
677	17845	34795
678	17873	34772
679	17899	34746
680	17926	34720
681	17949	34688
682	17973	34657
683	17999	34631
684	18026	34605
685	18057	34587
686	18086	34566
687	18118	34552
688	18153	34541
689	18184	34524
690	18213	34503
691	18240	34476
692	18264	34447
693	18291	34421
694	18317	34394
695	18342	34366
696	18368	34339
697	18393	34310
698	18420	34284
699	18451	34267
700	18479	34243
701	18510	34225
702	18536	34198
703	18565	34177
704	18591	34151
705	18617	34122
706	18646	34102
707	18672	34075
708	18697	34046
709	18721	34015
710	18747	33988
711	18771	33957
712	18796	33929
713	18819	33895
714	18847	33872
715	18872	33843
716	18902	33824
717	18928	33797
718	18952	33767
719	18976	33735
720	18999	33703
721	19030	33685
722	19063	33670
723	19092	33649
724	19118	33621
725	19142	33592
726	19168	33565
727	19196	33541
728	19226	33521
729	19255	33499
730	19289	33485
731	19323	33472
732	19349	33446
733	19379	33424
734	19408	33402
735	19433	33375
736	19461	33350
737	19487	33324
738	19515	33299
739	19541	33273
740	19566	33245
741	19592	33218
742	19622	33196
743	19648	33169
744	19680	33153
745	19706	33125
746	19735	33103
747	19762	33078
748	19790	33054
749	19816	33027
750	19847	33009
751	19874	32983
752	19902	32958
753	19928	32931
754	19959	32912
755	19987	32889
756	20016	32867
757	20042	32840
758	20068	32813
759	20093	32784
760	20120	32758
761	20148	32734
762	20174	32708
763	20199	32678
764	20229	32658
765	20258	32635
766	20285	32609
767	20311	32583
768	20340	32560
769	20367	32535
770	20395	32510
771	20420	32481
772	20446	32455
773	20472	32427
774	20499	32402
775	20523	32371
776	20550	32346
777	20575	32318
778	20601	32290
779	20631	32269
