iter	RMSE
420	0.5098960001
421	0.5098902207
422	0.5098879118
423	0.5098846776
424	0.5098816278
425	0.5098749033
426	0.5098709433
427	0.5098662798
428	0.5098619362
429	0.5098561281
430	0.5098530086
431	0.5098459679
432	0.5098418063
433	0.5098327833
434	0.5098229021
435	0.5098159373
436	0.509811138
437	0.5098043838
438	0.5097994957
439	0.5097934927
440	0.5097885384
441	0.5097845978
442	0.5097811801
443	0.509778141
444	0.5097731618
445	0.5097698339
446	0.5097654642
447	0.5097553355
448	0.5097529537
449	0.5097478692
450	0.5097438531
451	0.5097392892
452	0.5097333882
453	0.5097236781
454	0.5097206154
455	0.5097138621
456	0.5097080473
457	0.5097020364
458	0.5096944851
459	0.5096911604
460	0.5096859895
461	0.5096804561
462	0.509675935
463	0.5096718416
464	0.5096637756
465	0.5096565009
466	0.5096502628
467	0.509642051
468	0.5096367039
469	0.5096328501
470	0.5096285436
471	0.5096215096
472	0.5096175261
473	0.5096141468
474	0.5096072449
475	0.5096009029
476	0.5095983603
477	0.5095947927
478	0.5095914692
479	0.5095847811
480	0.5095791929
481	0.5095750052
482	0.5095688967
483	0.5095645458
484	0.5095617996
485	0.5095571054
486	0.5095516611
487	0.5095451811
488	0.5095365023
489	0.5095320008
490	0.509525741
491	0.509521091
492	0.5095144627
493	0.5095114268
494	0.5095049308
495	0.5094978615
496	0.5094900078
497	0.5094836343
498	0.5094764599
499	0.5094690073
500	0.5094659666
501	0.5094584187
502	0.5094544039
503	0.5094474917
504	0.5094447659
505	0.5094358959
506	0.5094283655
507	0.5094203322
508	0.5094158344
509	0.5094082667
510	0.5094025598
511	0.5093950952
512	0.5093913864
513	0.5093832202
514	0.5093756627
515	0.5093698059
516	0.509364107
517	0.5093613073
518	0.5093549614
519	0.5093503496
520	0.5093429465
521	0.5093373181
522	0.5093303009
523	0.5093265745
524	0.5093233298
525	0.5093175184
526	0.5093089684
527	0.5093044104
528	0.5092983666
529	0.5092904004
530	0.5092836664
531	0.5092785433
532	0.5092718755
533	0.5092635251
534	0.5092566389
535	0.5092506224
536	0.5092476506
537	0.5092423427
538	0.5092377511
539	0.5092327284
540	0.5092242739
541	0.5092207285
542	0.5092136283
543	0.509207156
544	0.5092037691
545	0.5091972169
546	0.5091898977
547	0.5091842968
548	0.509177757
549	0.5091743895
550	0.5091685823
551	0.5091604703
552	0.5091537949
553	0.5091493032
554	0.5091437199
555	0.5091402092
556	0.5091364947
557	0.5091305294
558	0.5091246453
559	0.5091194688
560	0.5091130549
561	0.5091073359
562	0.5091021754
563	0.5090973412
564	0.5090928762
565	0.5090849933
566	0.5090806824
567	0.509077569
568	0.509074778
569	0.5090701644
570	0.509067306
571	0.5090616013
572	0.5090566353
573	0.5090525211
574	0.5090468101
575	0.5090402253
576	0.509036061
577	0.5090325171
578	0.5090287587
579	0.5090250966
580	0.5090228932
581	0.50901876
582	0.5090120392
583	0.5090052668
584	0.5090008815
585	0.508994113
586	0.5089891746
587	0.5089835103
588	0.5089797198
589	0.5089733719
590	0.5089678671
591	0.5089647376
592	0.5089576607
593	0.508952493
594	0.5089473285
595	0.5089412378
596	0.5089338814
597	0.5089312641
598	0.5089256289
599	0.5089201462
600	0.5089150448
601	0.5089089594
602	0.5089033303
603	0.5089003895
604	0.5088966041
605	0.5088909599
606	0.5088868998
607	0.5088792951
608	0.5088717381
609	0.5088634323
610	0.5088587392
611	0.5088539263
612	0.5088481899
613	0.5088399677
614	0.5088320633
615	0.5088272635
616	0.508820578
617	0.5088129289
618	0.5088069991
619	0.5088042852
620	0.5087979834
621	0.5087935362
622	0.5087877888
623	0.5087806963
624	0.5087757209
625	0.5087710229
626	0.5087680986
627	0.508763084
628	0.5087566523
629	0.5087503698
630	0.5087442721
631	0.50873832
632	0.5087345071
633	0.5087274817
634	0.5087208784
635	0.5087152465
636	0.5087095506
637	0.5087051875
638	0.5086968054
639	0.5086884303
640	0.5086845595
641	0.5086799975
642	0.508673131
643	0.5086675746
644	0.5086622072
645	0.5086588559
646	0.5086528664
647	0.5086476132
648	0.508644192
649	0.5086399345
650	0.5086330279
651	0.508629204
652	0.5086226725
653	0.5086190764
654	0.5086095723
655	0.5086044017
656	0.5085978863
657	0.5085936143
658	0.5085903133
659	0.5085871837
660	0.508580035
661	0.5085755354
662	0.5085688291
663	0.5085646876
664	0.5085604791
665	0.5085548567
666	0.5085484545
667	0.5085455187
668	0.5085415985
669	0.5085376675
670	0.5085333256
671	0.5085274578
672	0.5085240312
673	0.508521009
674	0.5085183618
675	0.5085152573
676	0.5085114336
677	0.5085075779
678	0.5085009321
679	0.5084953644
680	0.5084877935
681	0.5084825118
682	0.5084795948
683	0.5084734603
684	0.5084685354
685	0.5084633163
686	0.5084560443
687	0.5084504933
688	0.5084463674
689	0.5084410948
690	0.5084375071
691	0.5084317951
692	0.5084289472
693	0.5084260895
694	0.5084200293
695	0.5084145918
696	0.5084079286
697	0.5084025829
698	0.5083965741
699	0.5083898734
700	0.5083857609
701	0.5083822783
702	0.5083783553
703	0.5083716301
704	0.5083688183
705	0.5083656645
706	0.5083602424
707	0.5083536524
708	0.5083473506
709	0.508342461
710	0.5083369087
711	0.5083332339
712	0.508330777
713	0.508328719
714	0.5083244628
715	0.5083193747
716	0.508315805
717	0.5083104014
718	0.5083012314
719	0.5082946789
720	0.5082898043
721	0.5082855972
722	0.5082814147
723	0.508275564
724	0.5082705115
725	0.5082648326
726	0.5082605958
727	0.5082549103
728	0.5082510296
729	0.5082460443
730	0.5082414571
731	0.5082380829
732	0.5082313261
733	0.5082275043
734	0.5082232778
735	0.508218398
736	0.5082115399
737	0.5082056844
738	0.5082006103
739	0.5081943146
740	0.5081871928
741	0.5081824571
742	0.5081743653
743	0.5081669443
744	0.5081634819
745	0.5081573616
746	0.5081518204
747	0.5081478815
748	0.5081441996
749	0.5081398405
750	0.5081345568
751	0.5081272275
752	0.5081215585
753	0.5081159178
754	0.5081114617
755	0.5081059488
756	0.5081010964
757	0.5080987631
758	0.5080955249
759	0.5080927902
760	0.5080866046
761	0.5080790828
762	0.5080745489
763	0.5080717027
764	0.5080658492
765	0.5080623276
766	0.5080570442
767	0.5080528894
768	0.508048655
769	0.5080412194
770	0.5080364185
771	0.508029524
772	0.5080234933
773	0.5080210069
774	0.5080155401
775	0.5080116721
776	0.5080058154
777	0.5080007238
778	0.5079971833
779	0.5079938268
780	0.5079881898
781	0.5079854517
782	0.5079808789
783	0.5079756731
784	0.5079713156
785	0.5079599813
786	0.5079543172
787	0.5079464958
788	0.507942898
789	0.5079343294
790	0.5079314147
791	0.507927151
792	0.5079240525
793	0.507918761
794	0.5079118327
795	0.5079069337
796	0.5079051436
797	0.5078982987
798	0.5078944382
799	0.5078910365
800	0.5078840926
801	0.507879781
802	0.5078732519
803	0.5078657721
804	0.5078614941
805	0.5078515614
806	0.5078471338
807	0.5078433377
808	0.5078372874
809	0.507832655
810	0.5078283408
811	0.5078233057
812	0.5078193722
813	0.507810831
814	0.5078070038
815	0.5078025433
816	0.5077985814
817	0.5077939482
818	0.5077872802
819	0.507783594
820	0.5077777928
821	0.5077730335
822	0.5077681708
823	0.5077652908
824	0.5077631603
825	0.50775749
826	0.5077549926
827	0.5077522414
828	0.5077467416
829	0.5077425841
830	0.5077378532
831	0.5077332294
832	0.5077297497
833	0.5077268703
834	0.5077207961
835	0.5077169182
836	0.5077143254
837	0.507707719
838	0.5076997111
839	0.5076935034
840	0.5076908652
841	0.507688463
842	0.5076831954
843	0.5076781698
844	0.507673685
845	0.5076687604
846	0.5076637467
847	0.5076579703
848	0.5076541858
849	0.5076516471
850	0.5076473311
851	0.5076434446
852	0.5076386656
853	0.5076345814
854	0.5076282671
855	0.507622924
856	0.5076169733
857	0.5076128525
858	0.5076059921
859	0.5076010678
860	0.5075889985
861	0.5075836281
862	0.5075815876
863	0.5075740395
864	0.5075696724
865	0.5075645598
866	0.5075621793
867	0.5075563004
868	0.5075511504
869	0.5075481587
870	0.5075442617
871	0.5075413466
872	0.5075387909
873	0.5075335686
874	0.5075284885
875	0.5075244507
876	0.507520864
877	0.507515719
878	0.5075114191
879	0.5075070089
880	0.5075031509
881	0.507496919
882	0.5074935144
883	0.5074869879
884	0.5074790429
885	0.5074721895
886	0.5074683927
887	0.5074616535
888	0.5074590484
889	0.5074536302
890	0.5074498498
891	0.5074454246
892	0.5074403966
893	0.5074368803
894	0.5074352601
895	0.5074291643
896	0.507425273
897	0.5074203929
898	0.507417451
899	0.5074117772
900	0.5074096595
901	0.5074062584
902	0.5074037019
903	0.5074002768
904	0.5073982721
905	0.5073939146
906	0.507388426
907	0.5073836843
908	0.5073753408
909	0.5073706858
910	0.50736615
911	0.5073603918
912	0.5073570817
913	0.5073550657
914	0.5073515026
915	0.5073474215
916	0.5073429874
917	0.5073399191
918	0.5073338708
919	0.5073277544
920	0.5073237848
921	0.5073213103
922	0.5073150551
923	0.5073127693
924	0.5073105997
925	0.5073049104
926	0.507300184
927	0.5072942944
928	0.5072911038
929	0.5072870368
930	0.5072807753
931	0.5072767687
932	0.5072722588
933	0.5072686498
934	0.5072654013
935	0.5072608671
936	0.5072496923
937	0.5072391137
938	0.5072333412
939	0.5072249536
940	0.507217396
941	0.5072119649
942	0.5072053961
943	0.5071992646
944	0.5071922736
945	0.5071898045
946	0.5071837767
947	0.5071791721
948	0.5071763136
949	0.5071709439
950	0.5071678884
951	0.5071615648
952	0.5071530088
953	0.5071494757
954	0.5071425556
955	0.5071386837
956	0.5071336702
957	0.5071306163
958	0.5071263515
959	0.5071235724
960	0.5071199688
961	0.5071153097
962	0.5071109718
963	0.5071067139
964	0.5071027053
965	0.507095274
966	0.5070919155
967	0.5070854662
968	0.5070802541
969	0.5070748312
970	0.5070706867
971	0.5070664701
972	0.5070616757
973	0.5070572852
974	0.5070521421
975	0.5070476708
976	0.5070457276
977	0.507040912
978	0.507037828
979	0.5070311819
980	0.5070265501
981	0.5070230859
982	0.5070201012
983	0.5070123743
984	0.5070060976
985	0.5069999393
986	0.5069971464
987	0.5069921982
988	0.506986006
989	0.5069818728
990	0.5069739373
991	0.5069695467
992	0.5069637155
993	0.5069581574
994	0.506952741
995	0.5069469259
996	0.5069449804
997	0.5069427817
998	0.5069350159
999	0.5069289851
1000	0.5069263061
1001	0.5069213975
1002	0.5069155435
1003	0.5069096448
1004	0.5069056066
1005	0.5068984963
1006	0.5068932001
1007	0.5068864498
1008	0.5068822176
1009	0.5068770076
1010	0.5068731458
1011	0.506867523
1012	0.5068631066
1013	0.5068592582
1014	0.5068535627
1015	0.5068509768
1016	0.5068459781
1017	0.5068410023
1018	0.5068355396
1019	0.5068326594
1020	0.5068291471
1021	0.5068262379
1022	0.506822895
1023	0.5068183895
1024	0.5068133559
1025	0.5068094437
1026	0.5068064775
1027	0.5068037869
1028	0.5068003976
1029	0.5067974516
1030	0.5067947822
1031	0.506791807
1032	0.5067885958
1033	0.5067863846
1034	0.5067807879
1035	0.5067761498
1036	0.5067716617
1037	0.5067674361
1038	0.5067613577
1039	0.5067580851
1040	0.5067511395
1041	0.5067482858
1042	0.5067432347
1043	0.506741517
1044	0.5067383806
1045	0.5067336642
1046	0.5067295433
1047	0.5067259207
1048	0.5067224505
1049	0.5067184241
1050	0.5067105235
1051	0.5067052643
1052	0.5067007993
1053	0.5066959563
1054	0.5066917635
1055	0.5066885106
1056	0.5066816796
1057	0.5066773468
1058	0.5066745537
1059	0.506670271
1060	0.5066655385
1061	0.5066614422
1062	0.5066572254
1063	0.506652471
1064	0.5066468455
1065	0.5066436949
1066	0.5066375245
1067	0.5066330455
1068	0.5066283646
1069	0.5066253742
1070	0.5066212937
1071	0.5066185321
1072	0.5066154287
1073	0.5066091129
1074	0.5066063256
1075	0.5066035066
1076	0.5065986355
1077	0.5065960501
1078	0.506590621
1079	0.5065888751
1080	0.5065839115
1081	0.5065746536
1082	0.5065704276
1083	0.5065638296
1084	0.5065593962
1085	0.5065548591
1086	0.5065509204
1087	0.5065476404
1088	0.5065447805
1089	0.5065387676
1090	0.5065342121
